Tanggal,Waktu,Suhu_CPU_Celcius
2026-01-26,13:45:49,"60.4
"
2026-01-26,13:45:51,"59.3
"
2026-01-26,13:45:53,"60.9
"
2026-01-26,13:45:55,"62.0
"
2026-01-26,13:45:57,"60.9
"
2026-01-26,13:45:59,"60.9
"
2026-01-26,13:46:01,"62.0
"
2026-01-26,13:46:03,"62.0
"
2026-01-26,13:46:05,"62.0
"
2026-01-26,13:46:07,"60.4
"
2026-01-26,13:46:09,"63.1
"
2026-01-26,13:46:11,"60.4
"
2026-01-26,13:46:13,"60.4
"
2026-01-26,13:46:15,"60.4
"
2026-01-26,13:46:17,"60.4
"
2026-01-26,13:46:19,"61.5
"
2026-01-26,13:46:21,"62.0
"
2026-01-26,13:46:23,"62.6
"
2026-01-26,13:46:25,"62.0
"
2026-01-26,13:46:27,"63.1
"
2026-01-26,13:46:29,"61.5
"
2026-01-26,13:46:31,"62.6
"
2026-01-26,13:46:33,"62.6
"
2026-01-26,13:46:35,"62.0
"
2026-01-26,13:46:37,"63.7
"
2026-01-26,13:46:39,"62.6
"
2026-01-26,13:46:41,"61.5
"
2026-01-26,13:46:43,"62.0
"
2026-01-26,13:46:45,"62.0
"
2026-01-26,13:46:47,"63.1
"
2026-01-26,13:46:49,"61.5
"
2026-01-26,13:46:51,"63.1
"
2026-01-26,13:46:53,"62.6
"
2026-01-26,13:46:55,"63.1
"
2026-01-26,13:46:57,"62.6
"
2026-01-26,13:46:59,"63.1
"
2026-01-26,13:47:01,"63.1
"
2026-01-26,13:47:03,"62.6
"
2026-01-26,13:47:05,"62.0
"
2026-01-26,13:47:07,"62.6
"
2026-01-26,13:47:09,"62.0
"
2026-01-26,13:47:11,"62.0
"
2026-01-26,13:47:13,"61.5
"
2026-01-26,13:47:15,"63.1
"
2026-01-26,13:47:17,"62.0
"
2026-01-26,13:47:19,"62.6
"
2026-01-26,13:47:21,"63.1
"
2026-01-26,13:47:23,"62.6
"
2026-01-26,13:47:25,"62.6
"
2026-01-26,13:47:27,"63.1
"
2026-01-26,13:47:29,"63.7
"
2026-01-26,13:47:31,"62.0
"
2026-01-26,13:47:33,"62.0
"
2026-01-26,13:47:35,"62.6
"
2026-01-26,13:47:37,"62.0
"
2026-01-26,13:47:39,"63.1
"
2026-01-26,13:47:41,"63.7
"
2026-01-26,13:47:43,"62.0
"
2026-01-26,13:47:45,"62.6
"
2026-01-26,13:47:47,"63.7
"
2026-01-26,13:47:49,"64.2
"
2026-01-26,13:47:51,"63.1
"
2026-01-26,13:47:53,"62.6
"
2026-01-26,13:47:55,"63.1
"
2026-01-26,13:47:57,"62.0
"
2026-01-26,13:47:59,"63.1
"
2026-01-26,13:48:01,"63.7
"
2026-01-26,13:48:03,"63.1
"
2026-01-26,13:48:05,"61.5
"
2026-01-26,13:48:07,"64.2
"
2026-01-26,13:48:10,"63.1
"
2026-01-26,13:48:12,"64.8
"
2026-01-26,13:48:14,"63.7
"
2026-01-26,13:48:16,"63.1
"
2026-01-26,13:48:18,"62.6
"
2026-01-26,13:48:20,"63.7
"
2026-01-26,13:48:22,"63.1
"
2026-01-26,13:48:24,"64.2
"
2026-01-26,13:48:26,"62.6
"
2026-01-26,13:48:28,"63.7
"
2026-01-26,13:48:30,"63.1
"
2026-01-26,13:48:32,"66.4
"
2026-01-26,13:48:34,"64.8
"
2026-01-26,13:48:36,"64.2
"
2026-01-26,13:48:38,"63.7
"
2026-01-26,13:48:40,"62.6
"
2026-01-26,13:48:42,"63.7
"
2026-01-26,13:48:44,"64.8
"
2026-01-26,13:48:46,"64.2
"
2026-01-26,13:48:48,"63.7
"
2026-01-26,13:48:50,"64.8
"
2026-01-26,13:48:52,"63.1
"
2026-01-26,13:48:54,"64.2
"
2026-01-26,13:48:56,"63.1
"
2026-01-26,13:48:58,"63.7
"
2026-01-26,13:49:00,"64.8
"
2026-01-26,13:49:02,"64.2
"
2026-01-26,13:49:04,"62.6
"
2026-01-26,13:49:06,"64.8
"
2026-01-26,13:49:08,"64.8
"
2026-01-26,13:49:10,"63.1
"
2026-01-26,13:49:12,"64.2
"
2026-01-26,13:49:14,"64.8
"
2026-01-26,13:49:16,"63.7
"
2026-01-26,13:49:18,"63.1
"
2026-01-26,13:49:20,"63.7
"
2026-01-26,13:49:22,"65.9
"
2026-01-26,13:49:24,"64.2
"
2026-01-26,13:49:26,"63.7
"
2026-01-26,13:49:28,"63.7
"
2026-01-26,13:49:30,"63.1
"
2026-01-26,13:49:32,"64.8
"
2026-01-26,13:49:34,"63.7
"
2026-01-26,13:49:36,"62.0
"
2026-01-26,13:49:38,"62.0
"
2026-01-26,13:49:40,"63.1
"
2026-01-26,13:49:42,"63.7
"
2026-01-26,13:49:44,"63.1
"
2026-01-26,13:49:46,"62.6
"
2026-01-26,13:49:48,"64.2
"
2026-01-26,13:49:50,"64.2
"
2026-01-26,13:49:52,"64.2
"
2026-01-26,13:49:54,"63.7
"
2026-01-26,13:49:56,"64.8
"
2026-01-26,13:49:58,"64.2
"
2026-01-26,13:50:00,"63.7
"
2026-01-26,13:50:02,"63.7
"
2026-01-26,13:50:04,"63.7
"
2026-01-26,13:50:06,"64.2
"
2026-01-26,13:50:08,"64.8
"
2026-01-26,13:50:10,"63.1
"
2026-01-26,13:50:12,"63.7
"
2026-01-26,13:50:14,"62.6
"
2026-01-26,13:50:16,"63.7
"
2026-01-26,13:50:18,"64.8
"
2026-01-26,13:50:20,"64.2
"
2026-01-26,13:50:22,"64.8
"
2026-01-26,13:50:24,"63.1
"
2026-01-26,13:50:26,"64.2
"
2026-01-26,13:50:28,"63.7
"
2026-01-26,13:50:30,"63.7
"
2026-01-26,13:50:32,"64.2
"
2026-01-26,13:50:34,"63.1
"
2026-01-26,13:50:36,"63.1
"
2026-01-26,13:50:38,"64.2
"
2026-01-26,13:50:40,"65.3
"
2026-01-26,13:50:42,"64.2
"
2026-01-26,13:50:44,"64.8
"
2026-01-26,13:50:46,"64.8
"
2026-01-26,13:50:48,"64.2
"
2026-01-26,13:50:50,"63.7
"
2026-01-26,13:50:52,"62.6
"
2026-01-26,13:50:54,"66.4
"
2026-01-26,13:50:56,"64.2
"
2026-01-26,13:50:58,"63.7
"
2026-01-26,13:51:00,"64.8
"
