Tanggal,Waktu,Suhu_CPU_Celcius
2026-01-26,13:40:09,"57.6
"
2026-01-26,13:40:11,"57.6
"
2026-01-26,13:40:13,"57.6
"
2026-01-26,13:40:15,"56.5
"
2026-01-26,13:40:17,"56.0
"
2026-01-26,13:40:19,"57.1
"
2026-01-26,13:40:21,"57.1
"
2026-01-26,13:40:23,"58.7
"
2026-01-26,13:40:25,"58.2
"
2026-01-26,13:40:27,"57.1
"
2026-01-26,13:40:29,"54.9
"
2026-01-26,13:40:31,"56.5
"
2026-01-26,13:40:33,"54.9
"
2026-01-26,13:40:35,"54.9
"
2026-01-26,13:40:37,"56.0
"
2026-01-26,13:40:39,"56.0
"
2026-01-26,13:40:41,"54.9
"
2026-01-26,13:40:43,"56.0
"
2026-01-26,13:40:45,"56.0
"
2026-01-26,13:40:47,"55.4
"
2026-01-26,13:40:49,"58.2
"
2026-01-26,13:40:51,"57.6
"
2026-01-26,13:40:53,"57.6
"
2026-01-26,13:40:55,"56.0
"
2026-01-26,13:40:57,"54.9
"
2026-01-26,13:40:59,"54.9
"
2026-01-26,13:41:01,"56.5
"
2026-01-26,13:41:03,"55.4
"
2026-01-26,13:41:05,"56.0
"
2026-01-26,13:41:07,"56.0
"
2026-01-26,13:41:09,"54.3
"
2026-01-26,13:41:11,"56.0
"
2026-01-26,13:41:13,"54.9
"
2026-01-26,13:41:15,"56.0
"
2026-01-26,13:41:17,"56.0
"
2026-01-26,13:41:19,"54.3
"
2026-01-26,13:41:21,"54.9
"
2026-01-26,13:41:23,"54.9
"
2026-01-26,13:41:25,"56.0
"
2026-01-26,13:41:27,"56.0
"
2026-01-26,13:41:29,"56.0
"
2026-01-26,13:41:31,"56.0
"
2026-01-26,13:41:33,"54.9
"
2026-01-26,13:41:35,"56.0
"
2026-01-26,13:41:37,"56.0
"
2026-01-26,13:41:39,"54.9
"
2026-01-26,13:41:41,"54.9
"
2026-01-26,13:41:43,"55.4
"
2026-01-26,13:41:45,"55.4
"
2026-01-26,13:41:47,"56.0
"
2026-01-26,13:41:49,"55.4
"
2026-01-26,13:41:51,"56.0
"
2026-01-26,13:41:53,"54.9
"
2026-01-26,13:41:55,"54.3
"
2026-01-26,13:41:57,"56.0
"
2026-01-26,13:41:59,"54.9
"
2026-01-26,13:42:01,"56.5
"
2026-01-26,13:42:03,"57.1
"
2026-01-26,13:42:05,"56.5
"
2026-01-26,13:42:07,"56.5
"
2026-01-26,13:42:09,"54.9
"
2026-01-26,13:42:11,"56.0
"
2026-01-26,13:42:13,"56.0
"
2026-01-26,13:42:15,"56.0
"
2026-01-26,13:42:17,"55.4
"
2026-01-26,13:42:19,"56.0
"
2026-01-26,13:42:21,"56.0
"
2026-01-26,13:42:23,"56.0
"
2026-01-26,13:42:25,"54.9
"
2026-01-26,13:42:27,"56.0
"
2026-01-26,13:42:29,"56.0
"
2026-01-26,13:42:31,"55.4
"
2026-01-26,13:42:33,"56.0
"
2026-01-26,13:42:35,"54.9
"
2026-01-26,13:42:37,"56.0
"
2026-01-26,13:42:39,"54.9
"
2026-01-26,13:42:41,"54.3
"
2026-01-26,13:42:43,"55.4
"
2026-01-26,13:42:45,"56.0
"
2026-01-26,13:42:47,"54.9
"
2026-01-26,13:42:49,"56.0
"
2026-01-26,13:42:51,"55.4
"
